area,codigo_programa,ies,nome_programa,inicio_mestrado,inicio_doutorado,conceito_atual,conceito_recomendado,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,DataHoraRegistro
13,32071035001P0,UNILESTE,ENGENHARIA,2005.0,,3,3,3.0,,3.45,3.28,3.123076923,0,19,19,0,0,0,2,0.0,2.0,,,,,,,,,,,,,0.0,1.0,8.0,12.5,29.66915542,2023-11-29 15:41:58.762555
13,33004056080P8,UNESP/BAU,ENGENHARIA MECÃ‚NICA,1997.0,,3,3,3.0,,3.55,3.17,3.030769231,29,60,89,0,21,0,36,0.0,57.0,,,,20.0,1.0,3.119,,,,,,,0.0,5.0,18.0,27.77777778,51.03747611,2023-11-29 15:41:58.762555
13,41001010042P4,UFSC,METROLOGIA CIENTÃFICA E INDUSTRIAL,1997.0,,3,3,3.0,,3.1,3.0175,2.992307692,12,28,40,0,19,0,34,0.0,53.0,,,,26.0,2.0,4.916,,,,,,,0.0,0.0,4.0,0.0,,2023-11-29 15:41:58.762555
13,42007011015P4,UNISINOS,ENGENHARIA DE PRODUÃ‡ÃƒO E SISTEMAS,2006.0,,3,3,3.0,,3.0,3.0375,2.984615385,0,9,9,0,0,0,0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,2023-11-29 15:41:58.762555
13,32001010050P8,UFMG,ENGENHARIA DE PRODUÃ‡ÃƒO,1995.0,,3,3,3.0,3.0,3.45,3.3475,2.9,17,45,62,0,26,0,64,0.0,90.0,,,,52.0,1.0,12.227,9.033841632,,,,,,0.0,2.0,14.0,14.28571429,32.174172,2023-11-29 15:41:58.762555
13,32003013004P9,UNIFEI,ENGENHARIA DE ENERGIA,1999.0,,3,3,3.0,,3.45,3.33,2.823076923,24,42,66,0,19,0,37,0.0,56.0,,,,10.0,0.0,1.998,,,,,,,0.0,3.0,11.0,27.27272727,52.22200811,2023-11-29 15:41:58.762555
13,42004012004P3,FURG,ENGENHARIA OCEÃ‚NICA,1995.0,,3,3,3.0,,3.1,2.995,2.784615385,30,64,94,0,16,0,19,0.0,35.0,,,,26.0,6.0,5.938,51.1798038,,,,,,0.0,1.0,14.0,7.142857143,20.69762574,2023-11-29 15:41:58.762555
13,31022014001P4,CEFET/RJ,TECNOLOGIA,1992.0,,3,3,3.0,,3.25,3.1675,2.776923077,46,48,94,0,49,0,65,0.0,114.0,,,,48.0,0.0,8.482,0.0,,,,,,0.0,1.0,15.0,6.666666667,19.74597097,2023-11-29 15:41:58.762555
13,41001010051P3,UFSC,ENGENHARIA DE PRODUÃ‡ÃƒO,2002.0,2002.0,3,3,3.0,,3.45,3.11,2.769230769,23,84,107,0,0,14,45,14.0,45.0,,3.214285714,3.214285714,,,,,,,,,,0.0,3.0,23.0,13.04347826,38.69981868,2023-11-29 15:41:58.762555
13,24001015012P6,UFPB/J.P.,ENGENHARIA DE PRODUÃ‡ÃƒO,1975.0,,3,3,3.0,,3.45,3.1325,2.723076923,20,69,89,0,41,0,91,0.0,132.0,,,,69.0,2.0,16.83,12.47609006,,,,,,0.0,0.0,13.0,0.0,,2023-11-29 15:41:58.762555
