conceito_atual,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,sigla_IES,id_instituicao
6,6.0,,5.0,4.826315789,4.710526316,60,65,125,20,22,12,27,32.0,49.0,1.1,2.25,1.53125,30.0,19.0,7.689,84.39115424,53.0,14.0,17.55,42.63110182,14.0,100.0,17.0,22.0,77.27272727,74.53482493,,
6,5.0,6.0,4.9,4.525,4.525,108,125,233,17,14,15,17,32.0,31.0,0.823529412,1.133333333,0.96875,23.0,15.0,5.871,85.94132494,40.0,9.0,12.934,37.12538841,8.0,88.88888889,25.0,40.0,62.5,59.78660219,,
5,5.0,,4.9,4.72,4.875,26,51,77,6,7,7,14,13.0,21.0,1.166666667,2.0,1.615384615,18.0,13.0,4.818,,11.0,2.0,3.188,,1.0,50.0,9.0,14.0,64.28571429,60.52533066,,
5,5.0,5.0,4.6,4.611052632,4.818421053,56,76,132,22,15,25,16,47.0,31.0,0.681818182,0.64,0.659574468,29.0,23.0,7.314,96.1904482,50.0,16.0,16.208,52.00404048,14.0,87.5,17.0,20.0,85.0,73.08986151,,
5,5.0,,4.6,4.475,4.8,23,32,55,0,27,0,33,0.0,60.0,,,,20.0,10.0,3.36,,,,,,,,7.0,10.0,70.0,63.49901887,,
5,5.0,,4.6,4.435,4.725,68,81,149,11,19,21,29,32.0,48.0,1.727272727,1.380952381,1.5,34.0,16.0,8.759,71.47533526,32.0,9.0,10.231,46.80928501,8.0,88.88888889,18.0,27.0,66.66666667,57.32098156,,
5,5.0,,4.6,4.705,4.675,52,69,121,6,15,15,28,21.0,43.0,2.5,1.866666667,2.047619048,27.0,14.0,6.272,79.82477566,9.0,3.0,2.402,,2.0,66.66666667,16.0,21.0,76.19047619,65.67973009,,
5,5.0,,4.5,4.44,4.675,54,54,108,13,15,10,19,23.0,34.0,1.153846154,1.9,1.47826087,23.0,8.0,5.596,62.33994259,24.0,3.0,7.332,18.96860551,2.0,66.66666667,12.0,18.0,66.66666667,65.74381689,,
5,5.0,,4.6,4.465,4.6,62,66,128,8,16,14,21,22.0,37.0,2.0,1.5,1.681818182,36.0,12.0,9.151,59.37941654,10.0,1.0,2.513,,1.0,100.0,14.0,22.0,63.63636364,54.33855823,,
5,5.0,6.0,4.7,4.745,4.575,63,63,126,8,14,14,17,22.0,31.0,1.75,1.214285714,1.409090909,16.0,7.0,4.066,,27.0,6.0,9.441,33.67422005,5.0,83.33333333,11.0,20.0,55.0,57.23288745,,
5,4.0,4.0,4.5,4.42,4.7,37,37,74,4,0,19,0,23.0,0.0,0.0,0.0,0.0,,,,,4.0,0.0,0.66,,0.0,,8.0,13.0,61.53846154,57.7793168,,
5,4.0,4.0,4.3,3.92,4.0,38,51,89,6,8,5,7,11.0,15.0,1.333333333,1.4,1.363636364,24.0,12.0,7.533,66.23571736,28.0,6.0,9.881,31.998496,3.0,50.0,8.0,17.0,47.05882353,46.15710326,,
